n,data_type,algorithm,correctness_rate,avg_natural_run_count,avg_natural_normalized_run_count,avg_natural_run_cv,avg_natural_max_run_ratio,avg_natural_max_to_avg_ratio,avg_natural_run_entropy_bound_nH,avg_adjusted_run_count,avg_adjusted_normalized_run_count,avg_adjusted_run_cv,avg_adjusted_max_run_ratio,avg_adjusted_max_to_avg_ratio,avg_adjusted_run_entropy_bound_nH,avg_minrun,avg_insertion_ratio,avg_extended_run_count,avg_weighted_merge_workload,avg_merge_comparisons,run_count_retention_ratio,entropy_retention_ratio,run_cv_change,max_run_ratio_change
1000,exponential_runs,timsort_style_with_minrun,1.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,5.0,0.005,0.8457600132425271,0.508,2.54,1854.8455317102555,63.0,0.126,2.0,1856.0,967.0,0.8333333333333334,0.9854275109795746,-0.18562158442149967,0.0
1000,exponential_runs,timsort_style_without_minrun,1.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,0.0,0.0,0.0,1889.0,984.0,1.0,1.0,0.0,0.0
1000,many_tiny_runs,powersort_style_with_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,1992.0,0.032,0.44606024924695936,0.030983866769659335,0.061
1000,many_tiny_runs,powersort_style_without_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,500.0,0.5,0.0,0.002,1.0,8965.784284662017,0.0,0.0,0.0,8976.0,4472.0,1.0,1.0,0.0,0.0
1000,many_tiny_runs,timsort_style_with_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,1992.0,0.032,0.44606024924695936,0.030983866769659335,0.061
1000,many_tiny_runs,timsort_style_without_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,500.0,0.5,0.0,0.002,1.0,8965.784284662017,0.0,0.0,0.0,8984.0,4432.0,1.0,1.0,0.0,0.0
1000,near_minrun_boundary,powersort_style_with_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,0.559,9.0,4000.0,1992.0,1.0,0.9999972329185218,0.0,-0.0010000000000000009
1000,near_minrun_boundary,powersort_style_without_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,0.0,0.0,0.0,4000.0,1992.0,1.0,1.0,0.0,0.0
1000,near_minrun_boundary,timsort_style_with_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,0.559,9.0,4000.0,1992.0,1.0,0.9999972329185218,0.0,-0.0010000000000000009
1000,near_minrun_boundary,timsort_style_without_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,0.0,0.0,0.0,4000.0,1992.0,1.0,1.0,0.0,0.0
1000,nearly_sorted,powersort_style_with_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,16.0,0.016,0.0645580661579638,0.0696,1.1136,3996.041433344235,63.0,0.943,15.2,4000.0,3528.4,0.40609137055837563,0.8378239413605512,-0.837788255277698,-0.026800000000000004
1000,nearly_sorted,powersort_style_without_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,0.0,0.0,0.0,5023.8,4293.6,1.0,1.0,0.0,0.0
1000,nearly_sorted,timsort_style_with_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,16.0,0.016,0.0645580661579638,0.0696,1.1136,3996.041433344235,63.0,0.943,15.2,4159.0,3707.2,0.40609137055837563,0.8378239413605512,-0.837788255277698,-0.026800000000000004
1000,nearly_sorted,timsort_style_without_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,0.0,0.0,0.0,5244.8,4690.2,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,powersort_style_with_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,63.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,powersort_style_without_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,0.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,timsort_style_with_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,63.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,timsort_style_without_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,0.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_raw_runs,powersort_style_with_minrun,1.0,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,5.0,0.005,1.37,0.748,3.7400000000000007,1318.432687944156,63.0,0.252,4.0,1504.0,1054.0,0.04950495049504951,0.6429185726201914,-6.610000000000001,-0.052000000000000046
