n,data_type,powersort_with,powersort_without,timsort_with,timsort_without,policy_gap_with_minrun,policy_gap_without_minrun,powersort_advantage_with_minrun,powersort_advantage_without_minrun,advantage_retention_ratio,with_minrun_natural_run_count,with_minrun_natural_normalized_run_count,with_minrun_natural_run_cv,with_minrun_natural_max_run_ratio,with_minrun_natural_max_to_avg_ratio,with_minrun_natural_run_entropy_bound_nH,with_minrun_adjusted_run_count,with_minrun_adjusted_normalized_run_count,with_minrun_adjusted_run_cv,with_minrun_adjusted_max_run_ratio,with_minrun_adjusted_max_to_avg_ratio,with_minrun_adjusted_run_entropy_bound_nH,with_minrun_minrun,with_minrun_insertion_ratio,with_minrun_extended_run_count,with_minrun_run_count_retention_ratio,with_minrun_entropy_retention_ratio,with_minrun_run_cv_change,with_minrun_max_run_ratio_change,without_minrun_natural_run_count,without_minrun_natural_normalized_run_count,without_minrun_natural_run_cv,without_minrun_natural_max_run_ratio,without_minrun_natural_max_to_avg_ratio,without_minrun_natural_run_entropy_bound_nH,without_minrun_adjusted_run_count,without_minrun_adjusted_normalized_run_count,without_minrun_adjusted_run_cv,without_minrun_adjusted_max_run_ratio,without_minrun_adjusted_max_to_avg_ratio,without_minrun_adjusted_run_entropy_bound_nH,without_minrun_minrun,without_minrun_insertion_ratio,without_minrun_extended_run_count,without_minrun_run_count_retention_ratio,without_minrun_entropy_retention_ratio,without_minrun_run_cv_change,without_minrun_max_run_ratio_change,metric
1000,random,4000.0,8725.4,4000.0,9172.4,0.0,447.0,0.0,0.04873315598970826,0.0,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,0.038314176245210725,0.4620387508290801,-0.24845162636682402,0.0574,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
1000,skewed_runs,1786.0,1998.0,1808.0,1912.0,22.0,-86.0,0.012168141592920354,-0.04497907949790795,-0.2558139534883721,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,6.0,0.006,1.4205548211878347,0.696,4.176,1590.7982054860565,63.0,0.304,5.0,0.75,0.9144972322806746,-0.30599086311941814,0.0,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,alternating_minrun_large_runs,28600.0,28600.0,29400.0,29400.0,800.0,800.0,0.027210884353741496,0.027210884353741496,1.0,50.0,0.01,0.6,0.032,1.6,26828.921423310454,50.0,0.01,0.6,0.032,1.6,26828.921423310454,40.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,0.01,0.6,0.032,1.6,26828.921423310454,50.0,0.01,0.6,0.032,1.6,26828.921423310454,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,alternating_small_large_raw_runs,34356.0,36584.0,34920.0,38200.0,564.0,1616.0,0.016151202749140895,0.04230366492146597,0.349009900990099,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,114.0,0.0228,0.12893657355459698,0.0104,1.1856,34106.137171534305,40.0,0.6152,77.0,0.75,1.0585891468863788,-0.8110807879871993,-0.002400000000000001,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,balanced_runs,15000.0,15000.0,15000.0,15000.0,0.0,0.0,0.0,0.0,,8.0,0.0016,0.0,0.125,1.0,15000.0,8.0,0.0016,0.0,0.125,1.0,15000.0,40.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0016,0.0,0.125,1.0,15000.0,8.0,0.0016,0.0,0.125,1.0,15000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,duplicate_heavy,34880.0,54974.8,34920.0,58142.4,40.0,3167.5999999999985,0.001145475372279496,0.05448003522386414,0.01262785705265817,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,0.061691836936136606,0.6376921249903111,-0.311871494372353,0.0066,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,exponential_runs,9443.0,9443.0,9443.0,9443.0,0.0,0.0,0.0,0.0,,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,40.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,many_tiny_runs,34880.0,56808.0,34920.0,58160.0,40.0,1352.0,0.001145475372279496,0.023246217331499314,0.029585798816568046,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,0.05,0.6171121348983634,0.0,0.0076,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,near_minrun_boundary,34880.0,34921.0,34920.0,34960.0,40.0,39.0,0.001145475372279496,0.0011155606407322655,1.0256410256410255,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,0.504,63.0,0.9920634920634921,0.9998705259067141,-0.09072948803999722,-0.00020000000000000052,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
5000,nearly_sorted,33886.0,36428.6,35884.8,38835.2,1998.800000000003,2406.5999999999985,0.05570046370608176,0.06196955339485824,0.8305493226959213,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,110.6,0.02212,0.3484693964671647,0.02968,3.2619999999999996,33602.16824428366,40.0,0.68664,86.2,0.5683453237410072,0.9569871123214958,-0.642800868147927,-0.0027999999999999935,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avg_weighted_merge_workload
