algorithm,correct,minrun,insertion_ratio,extended_run_count,weighted_merge_workload,merge_comparisons,adjusted_run_count,adjusted_normalized_run_count,adjusted_avg_run_length,adjusted_run_cv,adjusted_max_run_ratio,adjusted_max_to_avg_ratio,adjusted_run_entropy,adjusted_run_entropy_bound_nH,n,data_type,trial,natural_run_count,natural_normalized_run_count,natural_avg_run_length,natural_run_cv,natural_max_run_ratio,natural_max_to_avg_ratio,natural_run_entropy,natural_run_entropy_bound_nH
powersort_style_without_minrun,True,0,0.0,0,8751,8062,427,0.427,2.34192037470726,0.26469227416001395,0.006,2.5620000000000003,8.69334091600331,8693.34091600331,1000,random,3,427,0.427,2.34192037470726,0.26469227416001395,0.006,2.5620000000000003,8.69334091600331,8693.34091600331
timsort_style_with_minrun,True,63,1.0,16,4000,3967,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,4,409,0.409,2.444987775061125,0.28529984227124977,0.005,2.045,8.623253613613821,8623.25361361382
powersort_style_with_minrun,True,63,1.0,16,4000,3967,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,random,4,409,0.409,2.444987775061125,0.28529984227124977,0.005,2.045,8.623253613613821,8623.25361361382
timsort_style_without_minrun,True,0,0.0,0,9299,8540,409,0.409,2.444987775061125,0.28529984227124977,0.005,2.045,8.623253613613821,8623.25361361382,1000,random,4,409,0.409,2.444987775061125,0.28529984227124977,0.005,2.045,8.623253613613821,8623.25361361382
powersort_style_without_minrun,True,0,0.0,0,8700,8014,409,0.409,2.444987775061125,0.28529984227124977,0.005,2.045,8.623253613613821,8623.25361361382,1000,random,4,409,0.409,2.444987775061125,0.28529984227124977,0.005,2.045,8.623253613613821,8623.25361361382
timsort_style_with_minrun,True,63,0.934,15,4000,3386,16,0.016,62.5,0.0448998886412873,0.066,1.056,3.998470514914167,3998.470514914167,1000,nearly_sorted,0,39,0.039,25.641025641025642,1.0308782663341,0.098,3.8219999999999996,4.590413518832836,4590.413518832836
powersort_style_with_minrun,True,63,0.934,15,4000,3386,16,0.016,62.5,0.0448998886412873,0.066,1.056,3.998470514914167,3998.470514914167,1000,nearly_sorted,0,39,0.039,25.641025641025642,1.0308782663341,0.098,3.8219999999999996,4.590413518832836,4590.413518832836
timsort_style_without_minrun,True,0,0.0,0,4996,4311,39,0.039,25.641025641025642,1.0308782663341,0.098,3.8219999999999996,4.590413518832836,4590.413518832836,1000,nearly_sorted,0,39,0.039,25.641025641025642,1.0308782663341,0.098,3.8219999999999996,4.590413518832836,4590.413518832836
powersort_style_without_minrun,True,0,0.0,0,4856,3969,39,0.039,25.641025641025642,1.0308782663341,0.098,3.8219999999999996,4.590413518832836,4590.413518832836,1000,nearly_sorted,0,39,0.039,25.641025641025642,1.0308782663341,0.098,3.8219999999999996,4.590413518832836,4590.413518832836
timsort_style_with_minrun,True,63,0.929,15,4063,3470,16,0.016,62.5,0.07110555533852471,0.071,1.136,3.9961256706214803,3996.1256706214804,1000,nearly_sorted,1,40,0.04,25.0,1.00637965003273,0.108,4.32,4.750372588606343,4750.372588606343
powersort_style_with_minrun,True,63,0.929,15,4000,3419,16,0.016,62.5,0.07110555533852471,0.071,1.136,3.9961256706214803,3996.1256706214804,1000,nearly_sorted,1,40,0.04,25.0,1.00637965003273,0.108,4.32,4.750372588606343,4750.372588606343
timsort_style_without_minrun,True,0,0.0,0,5195,4663,40,0.04,25.0,1.00637965003273,0.108,4.32,4.750372588606343,4750.372588606343,1000,nearly_sorted,1,40,0.04,25.0,1.00637965003273,0.108,4.32,4.750372588606343,4750.372588606343
powersort_style_without_minrun,True,0,0.0,0,5059,4259,40,0.04,25.0,1.00637965003273,0.108,4.32,4.750372588606343,4750.372588606343,1000,nearly_sorted,1,40,0.04,25.0,1.00637965003273,0.108,4.32,4.750372588606343,4750.372588606343
timsort_style_with_minrun,True,63,0.92,15,4000,3665,16,0.016,62.5,0.12066482503198685,0.08,1.28,3.988647899033316,3988.647899033316,1000,nearly_sorted,2,39,0.039,25.641025641025642,0.8462139209443437,0.105,4.095,4.823587040037824,4823.5870400378235
powersort_style_with_minrun,True,63,0.92,15,4000,3665,16,0.016,62.5,0.12066482503198685,0.08,1.28,3.988647899033316,3988.647899033316,1000,nearly_sorted,2,39,0.039,25.641025641025642,0.8462139209443437,0.105,4.095,4.823587040037824,4823.5870400378235
timsort_style_without_minrun,True,0,0.0,0,5143,4478,39,0.039,25.641025641025642,0.8462139209443437,0.105,4.095,4.823587040037824,4823.5870400378235,1000,nearly_sorted,2,39,0.039,25.641025641025642,0.8462139209443437,0.105,4.095,4.823587040037824,4823.5870400378235
powersort_style_without_minrun,True,0,0.0,0,5052,4463,39,0.039,25.641025641025642,0.8462139209443437,0.105,4.095,4.823587040037824,4823.5870400378235,1000,nearly_sorted,2,39,0.039,25.641025641025642,0.8462139209443437,0.105,4.095,4.823587040037824,4823.5870400378235
timsort_style_with_minrun,True,63,1.0,16,4000,3542,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,nearly_sorted,3,41,0.041,24.390243902439025,0.7237444300303802,0.082,3.362,4.989888552668645,4989.8885526686445
powersort_style_with_minrun,True,63,1.0,16,4000,3542,16,0.016,62.5,0.030983866769659335,0.063,1.008,3.9992799727108106,3999.2799727108104,1000,nearly_sorted,3,41,0.041,24.390243902439025,0.7237444300303802,0.082,3.362,4.989888552668645,4989.8885526686445
timsort_style_without_minrun,True,0,0.0,0,5392,4853,41,0.041,24.390243902439025,0.7237444300303802,0.082,3.362,4.989888552668645,4989.8885526686445,1000,nearly_sorted,3,41,0.041,24.390243902439025,0.7237444300303802,0.082,3.362,4.989888552668645,4989.8885526686445
powersort_style_without_minrun,True,0,0.0,0,5184,4430,41,0.041,24.390243902439025,0.7237444300303802,0.082,3.362,4.989888552668645,4989.8885526686445,1000,nearly_sorted,3,41,0.041,24.390243902439025,0.7237444300303802,0.082,3.362,4.989888552668645,4989.8885526686445
timsort_style_with_minrun,True,63,0.932,15,4732,4473,16,0.016,62.5,0.05513619500836089,0.068,1.088,3.9976831094414025,3997.6831094414024,1000,nearly_sorted,4,38,0.038,26.31578947368421,0.9045153398367548,0.089,3.382,4.693477878977748,4693.477878977748
powersort_style_with_minrun,True,63,0.932,15,4000,3630,16,0.016,62.5,0.05513619500836089,0.068,1.088,3.9976831094414025,3997.6831094414024,1000,nearly_sorted,4,38,0.038,26.31578947368421,0.9045153398367548,0.089,3.382,4.693477878977748,4693.477878977748
timsort_style_without_minrun,True,0,0.0,0,5498,5146,38,0.038,26.31578947368421,0.9045153398367548,0.089,3.382,4.693477878977748,4693.477878977748,1000,nearly_sorted,4,38,0.038,26.31578947368421,0.9045153398367548,0.089,3.382,4.693477878977748,4693.477878977748
powersort_style_without_minrun,True,0,0.0,0,4968,4347,38,0.038,26.31578947368421,0.9045153398367548,0.089,3.382,4.693477878977748,4693.477878977748,1000,nearly_sorted,4,38,0.038,26.31578947368421,0.9045153398367548,0.089,3.382,4.693477878977748,4693.477878977748
timsort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,0,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,0,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,0,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,0,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,1,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,1,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,1,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,1,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,2,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,2,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,2,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,2,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,3,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,3,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,3,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,3,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,4,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_with_minrun,True,63,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,4,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,4,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
powersort_style_without_minrun,True,0,0.0,0,3000,1500,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0,1000,balanced_runs,4,8,0.008,125.0,0.0,0.125,1.0,3.0,3000.0
timsort_style_with_minrun,True,63,0.304,5,1808,713,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,0,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_with_minrun,True,63,0.304,5,1786,880,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,0,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_without_minrun,True,0,0.0,0,1912,736,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,0,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_without_minrun,True,0,0.0,0,1998,866,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,0,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_with_minrun,True,63,0.304,5,1808,713,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,1,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_with_minrun,True,63,0.304,5,1786,880,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,1,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_without_minrun,True,0,0.0,0,1912,736,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,1,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_without_minrun,True,0,0.0,0,1998,866,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,1,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_with_minrun,True,63,0.304,5,1808,713,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,2,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_with_minrun,True,63,0.304,5,1786,880,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,2,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_without_minrun,True,0,0.0,0,1912,736,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,2,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_without_minrun,True,0,0.0,0,1998,866,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,2,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_with_minrun,True,63,0.304,5,1808,713,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,3,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_with_minrun,True,63,0.304,5,1786,880,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,3,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_without_minrun,True,0,0.0,0,1912,736,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,3,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_without_minrun,True,0,0.0,0,1998,866,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,3,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_with_minrun,True,63,0.304,5,1808,713,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,4,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_with_minrun,True,63,0.304,5,1786,880,6,0.006,166.66666666666666,1.4205548211878347,0.696,4.176,1.5907982054860565,1590.7982054860565,1000,skewed_runs,4,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_without_minrun,True,0,0.0,0,1912,736,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,4,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
powersort_style_without_minrun,True,0,0.0,0,1998,866,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874,1000,skewed_runs,4,8,0.008,125.0,1.7265456843072529,0.696,5.568,1.7395331000824874,1739.5331000824874
timsort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,0,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,0,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,0,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,0,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,1,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,1,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,1,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,1,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,2,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_with_minrun,True,63,0.126,2,1856,967,5,0.005,200.0,0.8457600132425273,0.508,2.54,1.8548455317102555,1854.8455317102555,1000,exponential_runs,2,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
timsort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,2,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
powersort_style_without_minrun,True,0,0.0,0,1889,984,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137,1000,exponential_runs,2,6,0.006,166.66666666666666,1.0313815976640268,0.508,3.048,1.8822749629411368,1882.274962941137
